Nb,Ta,V,Cr,W,Zr,Density_g_cc_ROM,density_err,Liquidus_K_TC,Solidus_K_TC,Liquidus_C_TC,Solidus_C_TC,tm_err,ts_err,YS_1300C_MPa,Alloy_ID,VEC Avg,Cauchy Pres Avg,Pugh_Ratio_PRIOR,EQ 600C BCC_B2 MOL,EQ 600C C15_LAVES MOL,EQ 600C THCD (W/mK),EQ 1300C BCC_B2 MOL,EQ 1300C THCD (W/mK),EQ 600C BCC_SUM MOL,EQ 600C LAVES_SUM MOL,EQ 1300C BCC_SUM MOL
0.7355538894867959,0.0244461105132041,0.06,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2704.402862418749,2446.1933461620724,2431.2528624187494,2173.0433461620723,318.7471375812506,576.9566538379277,192.62610990650552,TS_011,5.119999999999999,111.89017057409066,6.075711971776688,0.9156927209055569,0.08430727909444288,17.682058620453304,1.0,4.524593122514046,0.9156927209055569,0.08430727909444288,1.0
0.7114231871839076,0.0285768128160923,0.08,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2689.615299937785,2418.781752179275,2416.465299937785,2145.631752179275,333.53470006221505,604.3682478207252,215.7934978771244,TS_012,5.119999999999999,111.79011880270114,6.026814867298054,0.9129310054421165,0.08706899455788322,18.109497219481746,0.9999999999999999,4.6815160638968,0.9129310054421165,0.08706899455788322,0.9999999999999999
0.6993578360324635,0.0306421639675365,0.09,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2682.2665206411093,2405.8154345223843,2409.116520641109,2132.665434522384,340.8834793588908,617.3345654776158,227.28342584636133,TS_013,5.12,111.74009291700636,6.002722153528795,0.9114218218122543,0.08857817818774576,18.200546078788857,1.0,4.763132647946988,0.9114218218122543,0.08857817818774576,1.0
0.6872924848810193,0.0327075151189806,0.1,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2674.948628585236,2393.301173844192,2401.798628585236,2120.151173844192,348.20137141476425,629.8488261558082,238.6945492748988,TS_014,5.119999999999999,111.6900670313116,5.978862084006047,0.9097645959377111,0.09023540406228896,18.221709989590984,1.0000000000000002,4.846981565369944,0.9097645959377111,0.09023540406228896,1.0000000000000002
0.6269657291237988,0.0430342708762011,0.15,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2638.8475814786707,2336.5927510458864,2365.6975814786706,2063.4427510458863,384.3024185213294,686.5572489541137,294.18826361255174,TS_015,5.119999999999999,111.43993760283776,5.86293624088269,0.8977129871723236,0.10228701282767631,17.536777643877027,1.0000000000000002,5.303637089892424,0.8977129871723236,0.10228701282767631,1.0000000000000002
0.6149003779723545,0.0450996220276454,0.16,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2631.7304292676245,2326.264900560954,2358.5804292676244,2053.114900560954,391.4195707323756,696.8850994390459,304.90483607369373,TS_016,5.119999999999999,111.38991171714298,5.840403805870625,0.8947174640255441,0.10528253597445615,17.31455831119621,1.0,5.4033489826874375,0.8947174640255441,0.10528253597445615,1.0
0.6028350268209106,0.0471649731790893,0.17,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2624.649545834849,2316.229423434696,2351.499545834849,2043.079423434696,398.50045416515104,706.9205765653041,315.47229864948366,TS_017,5.119999999999999,111.33988583144823,5.818081835706486,0.8917800686456377,0.10821993135436231,17.097638219339135,1.0000000000000002,5.5061979553460505,0.8917800686456377,0.10821993135436231,1.0000000000000002
0.5907696756694663,0.0492303243305336,0.18,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2617.605808669892,2306.469541521936,2344.455808669892,2033.319541521936,405.5441913301079,716.6804584780643,325.8818342775687,TS_018,5.119999999999998,111.28985994575345,5.79596739531851,0.8889820114684113,0.11101798853158856,16.894874994441686,1.0000000000000002,5.612353165507786,0.8889820114684113,0.11101798853158856,1.0000000000000002
0.5787043245180222,0.0512956754819776,0.19,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2610.600124495948,2296.9696680019647,2337.450124495948,2023.8196680019648,412.5498755040521,726.1803319980354,336.1248053076472,TS_019,5.119999999999999,111.23983406005868,5.774057603957786,0.8863594171602618,0.11364058283973826,16.71012740720358,1.0,5.721996592434912,0.8863594171602618,0.11364058283973826,1.0
0.566638973366578,0.0533610266334219,0.2,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2603.633429764213,2287.715313752896,2330.483429764213,2014.5653137528952,419.5165702357872,735.4346862471048,346.1927244588404,TS_020,5.119999999999999,111.18980817436392,5.752349633947246,0.883920639161218,0.11607936083878212,16.544244909960845,1.0000000000000002,5.835324257108878,0.883920639161218,0.11607936083878212,1.0000000000000002
