Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,10.1557/jmr.2018.153,BCC,7.69,,1965,166,,
HfMoNbTiZr,10.1557/jmr.2018.153,BCC,8.68,,1719,635,,
HfMo0.5NbTiV0.5,10.1557/jmr.2018.153,BCC,8.96,,1260,368,,
Al0.4Hf0.6NbTaTiZr,10.1557/jmr.2018.153,BCC,9.08,,1841,298,,
HfNbTaTiZr,10.1557/jmr.2018.153,BCC,9.89,,929,295,,
HfMoNbTaTiZr,10.1557/jmr.2018.153,BCC,9.93,,1512,814,,
HfMoTaTiZr,10.1557/jmr.2018.153,BCC,10.18,,1600,855,,
MoNbTaTiVW,10.1557/jmr.2018.153,BCC,10.91,,1515,752.8,,
MoNbTaTiW,10.1557/jmr.2018.153,BCC,11.72,,1343,620,,
MoNbTaVW,10.1557/jmr.2018.153,BCC,12.29,,1246,842,,
MoNbTaW,10.1557/jmr.2018.153,BCC,13.6,,1058,548,,
Al0.5CrNbTi2V0.5,10.1557/jmr.2018.153,BCC+Laves,5.75,,1340,90,,
AlCr1.5NbTiV,10.1557/jmr.2018.153,BCC+Laves,5.83,,1700,75,,
AlCrNbTiV,10.1557/jmr.2018.153,BCC+Laves,6.38,,1550,65,,
NbTiVZr,10.1557/jmr.2018.153,BCC+BCC,6.43,,1105,58,,
CrNbTiVZr,10.1557/jmr.2018.153,BCC+Laves,6.53,,1298,259,,
CrNbTiZr,10.1557/jmr.2018.153,BCC+Laves,6.53,,1260,115,,
AlMo0.5NbTa0.5TiZr,10.1557/jmr.2018.153,B2+BCC,7.14,,2000,745,,
Al0.5NbTa0.8Ti1.5V0.2Zr,10.1557/jmr.2018.153,B2+BCC,7.55,,2035,220,,
Al0.5Mo0.5NbTa0.5TiZr,10.1557/jmr.2018.153,B2+BCC,7.59,,2350,579,,
HfNbSi0.5TiV,10.1557/jmr.2018.153,BCC+M5Si3,7.78,,1399,240,,
HfMo0.5NbSi0.7TiV0.5,10.1557/jmr.2018.153,BCC+M5Si3,7.89,,2134,673,,
Al0.3NbTaTi1.4Zr1.3,10.1557/jmr.2018.153,B2+BCC,8.08,,1965,236,,
HfMo0.5NbSi0.5TiV0.5,10.1557/jmr.2018.153,BCC+M5Si3,8.16,,1787,614,,
HfMo0.5NbSi0.3TiV0.5,10.1557/jmr.2018.153,BCC+M5Si3,8.46,,1617,398,,
Al0.25NbTaTiZr,10.1557/jmr.2018.153,B2+BCC,8.58,,1745,366,,
NbTiV2Zr,10.1557/jmr.2018.153,3BCC,6.36,,918,72,,
CrMo0.5NbTa0.5TiZr,10.1557/jmr.2018.153,2BCC+Laves,7.98,,1595,546,,
AlMo0.5NbTa0.5TiZr,10.1016/j.matdes.2017.11.033,,7.4,122,2197,,,
AlNbTa0.5TiZr0.5,10.1016/j.matdes.2017.11.033,,7.1,124,1352,,,
Al0.5Mo0.5NbTa0.5TiZr,10.1016/j.matdes.2017.11.033,,8.1,132,2350,,,
Al0.25NbTaTiZr,10.1016/j.matdes.2017.11.033,,9.4,118,1745,,,
AlMo0.5NbTa0.5TiZr,10.1016/j.matdes.2017.11.033,,,70,745,,,
AlMo0.5NbTa0.5TiZr0.5,10.1016/j.matdes.2017.11.033,,,76,935,,,
AlNbTa0.5TiZr0.5,10.1016/j.matdes.2017.11.033,,,53,535,,,
Al0.5Mo0.5NbTa0.5TiZr,10.1016/j.matdes.2017.11.033,,,78,579,,,
Al0.25NbTaTiZr,10.1016/j.matdes.2017.11.033,,,63,366,,,
Al0.4Hf0.6NbTaTiZr,10.1016/j.actamat.2019.06.032,BCC,9.08,,1841,298,89,
AlCrMoTi,10.1016/j.actamat.2019.06.032,BCC,5.98,,1100,375,100,
AlMoNbTi,10.1016/j.actamat.2019.06.032,BCC,6.46,,1100,540,200,
HfMo0.5NbTiV0.5,10.1016/j.actamat.2019.06.032,BCC,8.96,,1260,368,60,
HfMoNbTaTiZr,10.1016/j.actamat.2019.06.032,BCC,9.93,,1512,814,556,
HfMoNbTiZr,10.1016/j.actamat.2019.06.032,BCC,8.68,,1575,635,187,
HfMoTaTiZr,10.1016/j.actamat.2019.06.032,BCC,10.18,,1600,855,404,
HfNbTaTiZr,10.1016/j.actamat.2019.06.032,BCC,9.89,,929,295,92,
MoNbTaTiVW,10.1016/j.actamat.2019.06.032,BCC,10.91,,1515,753,659,
MoNbTaTiW,10.1016/j.actamat.2019.06.032,BCC,11.72,,1343,620,586,
MoNbTaVW,10.1016/j.actamat.2019.06.032,BCC,12.29,,1246,842,735,
MoNbTaW,10.1016/j.actamat.2019.06.032,BCC,13.6,,996,548,506,
MoNbTi,10.1016/j.actamat.2019.06.032,BCC,7.67,,1100,504,324,
NbTa0.3TiZr,10.1016/j.actamat.2019.06.032,BCC,7.81,,882,274,102,
NbTiZr,10.1016/j.actamat.2019.06.032,BCC,6.63,,975,141,61,
AlCrMoNbTi,10.1016/j.actamat.2019.06.032,BCC+Laves,6.56,,1010,550,105,
Al0.24NbTiVZr,10.1016/j.actamat.2019.06.032,BCC+Laves,6.34,,1240,82,24,
AlMo0.5NbTa0.5TiZr,10.1016/j.actamat.2019.06.032,B2�BCC+Al4Zr5,7.14,,2000,745,250,
Cr0.3NbTiZr,10.1016/j.actamat.2019.06.032,BCC+Laves,6.56,,1576,139,32,
CrMo0.5NbTa0.5TiZr,10.1016/j.actamat.2019.06.032,BCC+BCC+Laves,7.98,,1595,546,170,
HfMo0.5NbSi0.3TiV0.5,10.1016/j.actamat.2019.06.032,BCC+M5Si3,8.46,,1617,398,166,
